Description,Link,Syuzhet_Vector,Affin_Vector,Nrc_Vector,Bing_Vector,Theme
"In 2002, CrossFit founder and former CEO Greg Glassman explained his definition of fitness. Glassman wrote in the CrossFit Journal, that “CrossFit is not a ...",https://news.google.com/articles/CBMiSGh0dHBzOi8vbW9ybmluZ2NoYWxrdXAuY29tLzIwMjAvMTAvMzAvb3BlZC1hbi0xMXRoLWNvbXBvbmVudC1vZi1maXRuZXNzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,1,1,0,0,Fitness
Emerald Hill Elementary School teachers and staff members came together for a morning of fun and fitness during the inaugural Emerald Hill Elementary Virtual ...,https://news.google.com/articles/CBMigQFodHRwczovL3N0YXJleHBvbmVudC5jb20vc3BvcnRzL2xvY2FsL2ZpdG5lc3MtYW5kLWZ1bi1hYm91bmQtYXQtZW1lcmFsZC1oaWxsLTVrL2FydGljbGVfZWY2MmZmMzMtNGMyZi01Y2M4LTlkMTMtZDk3YTA5YTNiMmM2Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,1.35,5,1,1,Fitness
Inspiration sparked by a magazine article has now helped around 120 people with Parkinson's and Alzheimer's diseases in the Aiken area. Day One Fitness is a ...,https://news.google.com/articles/CBMixgFodHRwczovL3d3dy5wb3N0YW5kY291cmllci5jb20vYWlrZW5zdGFuZGFyZC9zdW5kYXlzX2Jlc3QvbG9jYWwtbm9ucHJvZml0LWRheS1vbmUtZml0bmVzcy1oZWxwcy1wZW9wbGUtd2l0aC1wYXJraW5zb25zLWFsemhlaW1lcnMtZGlzZWFzZS1maWdodC1iYWNrL2FydGljbGVfMmEwODIwYWUtMTU1Ny0xMWViLThhYzUtN2ZlMjMyMmFmNTI2Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,2.4,3,1,2,Fitness
"Awesome apparel, equipment, supplements and more at every price point.",https://news.google.com/articles/CBMiP2h0dHBzOi8vd3d3LmdlYXJwYXRyb2wuY29tL2dpZnQtZ3VpZGVzL2czNDQ4MzQ4NS9maXRuZXNzLWdpZnRzL9IBQWh0dHBzOi8vd3d3LmdlYXJwYXRyb2wuY29tL2dpZnQtZ3VpZGVzL2dtcDM0NDgzNDg1L2ZpdG5lc3MtZ2lmdHMv?hl=en-US&gl=US&ceid=US%3Aen,0.6,4,0,1,Fitness
"The report titled Fitness Software Market: Size, Trends and Forecasts (2020-2025)”, delivers an in-depth analysis of the Fitness Software market by value, ...",https://news.google.com/articles/CBMi7AFodHRwczovL2V1cm93aXJlLmNvL3VuY2F0ZWdvcml6ZWQvNjU2MzYwL2ZpdG5lc3Mtc29mdHdhcmUtbWFya2V0LTIwMjAtcG90ZW50aWFsLWdyb3d0aC1jaGFsbGVuZ2VzLWFuZC1rbm93LXRoZS1jb21wYW5pZXMtbGlzdC1jb3VsZC1wb3RlbnRpYWxseS1iZW5lZml0LW9yLWxvb3NlLW91dC1mcm9tLXRoZS1pbXBhY3Qtb2YtY292aWQtMTkta2V5LXBsYXllcnMtbWluZGJvZHktYWN1aXR5LXNjaGVkdWxpbmctcC0yL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.6,1,1,0,Fitness
JCMR recently Announced Mobile Sports and Fitness Ecosystems study with 200+ market data Tables and Figures spread through Pages and easy to ...,https://news.google.com/articles/CBMirgFodHRwczovL2Flcm9zcGFjZS1qb3VybmFsLmNvbS9zcGFjZS1mbGlnaHQvNDI2OTA5L21vYmlsZS1zcG9ydHMtYW5kLWZpdG5lc3MtZWNvc3lzdGVtcy1tYXJrZXQtaW5jcmVhc2luZy1kZW1hbmQtd2l0aC1pbmR1c3RyeS1wcm9mZXNzaW9uYWxzLWFwcGxlLWphd2JvbmUtc2Ftc3VuZy1lbGVjdHJvbmljcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,1.65,2,1,1,Fitness
"The University of Illinois extension serving Coles, Cumberland, Douglas, Moultrie and Shelby counties is hosting a Wits Fitness brain exercise class using the ...",https://news.google.com/articles/CBMipQFodHRwczovL2pnLXRjLmNvbS9saWZlc3R5bGVzL2hlYWx0aC1tZWQtZml0L2xpZmUtc2tpbGxzLWZvci15b3VyLWxpZmVzcGFuLXdpdHMtZml0bmVzcy1icmFpbi1leGVyY2lzZS1jbGFzcy1vZmZlcmVkL2FydGljbGVfNDRmZWU2YzItZWY5Ny01N2FkLTg0YzgtODNlODJhMGFhYzRiLmh0bWzSAakBaHR0cHM6Ly9qZy10Yy5jb20vbGlmZXN0eWxlcy9oZWFsdGgtbWVkLWZpdC9saWZlLXNraWxscy1mb3IteW91ci1saWZlc3Bhbi13aXRzLWZpdG5lc3MtYnJhaW4tZXhlcmNpc2UtY2xhc3Mtb2ZmZXJlZC9hcnRpY2xlXzQ0ZmVlNmMyLWVmOTctNTdhZC04NGM4LTgzZTgyYTBhYWM0Yi5hbXAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,1.7999999999999998,1,2,0,Fitness
Move United claim to have offered more than 1000 virtual programmes to individuals with physical disabilities in a bid to improve health and fitness.,https://news.google.com/articles/CBMiTmh0dHBzOi8vd3d3Lmluc2lkZXRoZWdhbWVzLmJpei9hcnRpY2xlcy8xMTAwMjQ1L21vdmUtdW5pdGVkLXZpcnR1YWwtcHJvZ3JhbW1lc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,1.85,4,2,1,Fitness
"Under Armour is set to sell the MyFitnessPal platform to Francisco Partners for about $345 million, the company announced Friday.",https://news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9zcG9ydHMvdW5kZXItYXJtb3VyLXNlbGxzLWZpdG5lc3MtYXBwLW15Zml0bmVzc3BhbNIBUmh0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9zcG9ydHMvdW5kZXItYXJtb3VyLXNlbGxzLWZpdG5lc3MtYXBwLW15Zml0bmVzc3BhbC5hbXA?hl=en-US&gl=US&ceid=US%3Aen,0,0,0,0,Fitness
"Anna Kaiser, the founder of AKT, sold her brand to Xponential Fitness before the pandemic. Now she wants it back.",https://news.google.com/articles/CAIiEInK4_8BjETRSt92lC56tVUqFwgEKg8IACoHCAowjuuKAzCWrzwwt4QY?hl=en-US&gl=US&ceid=US%3Aen,0,1,-1,0,Fitness
"Far from just tracking physical activity, the wrist-worn fitness device has been transformed into a health monitoring tool that consumers want.",https://news.google.com/articles/CBMiRmh0dHBzOi8vd3d3LmZpZXJjZWVsZWN0cm9uaWNzLmNvbS9lbGVjdHJvbmljcy9pbmNyZWRpYmxlLXJpc2Utd2VhcmFibGXSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.6,1,-1,-1,Wearables
"Wearables offer new therapeutic options for cardiac rehab and migraines, but hospitals and clinics are still figuring out how to take advantage of the technology.",https://news.google.com/articles/CAIiEEPBh0WOQH8HM0ipWLf0yOoqMwgEKioIACIQTsvzOuavn89fdO_GJ2P7uSoUCAoiEE7L8zrmr5_PX3Tvxidj-7kwo5ziBg?hl=en-US&gl=US&ceid=US%3Aen,2.5,2,4,1,Wearables
"Apple's Wearables, Home, and Accessories category, which was previously known as the ""Other"" category, brought in record revenue in the fourth fiscal quarter ...",https://news.google.com/articles/CAIiEMAqFwq4Q6roFDUlI47Y0yoqFwgEKg8IACoHCAowyIXgAjCQuhsw0fkk?hl=en-US&gl=US&ceid=US%3Aen,0,0,0,0,Wearables
Could wearables be used to detect potential Covid-19 cases? A group of researchers at the Scripps Research Translational Institute found that changes in sleep ...,https://news.google.com/articles/CBMiYmh0dHBzOi8vbWVkY2l0eW5ld3MuY29tLzIwMjAvMTEvc2NyaXBwcy1zdHVkeS1zdWdnZXN0cy13ZWFyYWJsZXMtY291bGQtcHJlZGljdC1jb3ZpZC0xOS1pbmZlY3Rpb24v0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.7,0,2,0,Wearables
"Dublin, Oct. 29, 2020 (GLOBE NEWSWIRE) -- The ""Embedded Display Market with COVID-19 Impact Analysis by Technology (LCD, LED, OLED, and Others), ...",https://news.google.com/articles/CAIiEFNYxDR_vUgj4bAku50EP6AqMwgEKioIACIQQrm4wrRfaVTiY_by5KwsfyoUCAoiEEK5uMK0X2lU4mP28uSsLH8wh_HIBg?hl=en-US&gl=US&ceid=US%3Aen,0.5,0,1,1,Wearables
"As technology continues to create boundless new possibilities, the future of medicine will increasingly be about monitoring, data abundance, algorithms and ...",https://news.google.com/articles/CAIiEH8a9_K627h8AzW_lyhuxCQqFQgEKg0IACoGCAowrqkBMKBFMKGBAg?hl=en-US&gl=US&ceid=US%3Aen,2.5,0,2,2,Wearables
The Smart Wearables for Sports and Fitness research report is a detailed and dedicated analysis of the current scenario of the global Smart Wearables for ...,https://news.google.com/articles/CBMisgFodHRwczovL3JlamVydXNhbGVtLmNvbS8yMzgzNzcvZ2xvYmFsLXNtYXJ0LXdlYXJhYmxlcy1mb3Itc3BvcnRzLWFuZC1maXRuZXNzLW1hcmtldC1pbnNpZ2h0cy1mb3JlY2FzdHMtdG8tMjAyNi1hZGlkYXMtYXBwbGUtZml0Yml0LWdhcm1pbi1qYXdib25lLW5pa2Utc2Ftc3VuZy1lbGVjdHJvbmljcy1zb255LTIv0gEA?hl=en-US&gl=US&ceid=US%3Aen,2,4,0,2,Wearables
"Boston-based digital fitness company WHOOP is now bosting a $1.2 billion valuation, following its $100 million in Series E funding. IVP led the round with ...",https://news.google.com/articles/CAIiEOFmzyxZhEG1hVeSx8d5dN8qGQgEKhAIACoHCAowubmcCzDFw7QDMN7X4gY?hl=en-US&gl=US&ceid=US%3Aen,1.4,1,0,1,Wearables
"Mobvoi just released the new TicWatch 3 Pro, which is (by most accounts) the best Wear OS smartwatch you can buy right now. While that model isn't on.",https://news.google.com/articles/CAIiEJ3DhF8_p8JI8zE2HysZTcEqFwgEKg4IACoGCAowu5gUMNLMAjCg7LUG?hl=en-US&gl=US&ceid=US%3Aen,2.5,3,0,2,Wearables
"An interdisciplinary team of researchers led by Karl Zelik explores how wearable sensor technology can monitor bone stress in runners, developing a new ...",https://news.google.com/articles/CBMizwFodHRwczovL25ld3MudmFuZGVyYmlsdC5lZHUvMjAyMC8xMC8yOC92YW5kZXJiaWx0LXRyYW5zLWluc3RpdHV0aW9uYWwtdGVhbS1zaG93cy1ob3ctbmV4dC1nZW4td2VhcmFibGUtc2Vuc29yLWFsZ29yaXRobXMtcG93ZXJlZC1ieS1tYWNoaW5lLWxlYXJuaW5nLWNvdWxkLWJlLWtleS10by1wcmV2ZW50aW5nLWluanVyaWVzLXRoYXQtc2lkZWxpbmUtcnVubmVycy_SAdMBaHR0cHM6Ly9uZXdzLnZhbmRlcmJpbHQuZWR1LzIwMjAvMTAvMjgvdmFuZGVyYmlsdC10cmFucy1pbnN0aXR1dGlvbmFsLXRlYW0tc2hvd3MtaG93LW5leHQtZ2VuLXdlYXJhYmxlLXNlbnNvci1hbGdvcml0aG1zLXBvd2VyZWQtYnktbWFjaGluZS1sZWFybmluZy1jb3VsZC1iZS1rZXktdG8tcHJldmVudGluZy1pbmp1cmllcy10aGF0LXNpZGVsaW5lLXJ1bm5lcnMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,0.55,0,0,0,Wearables
"SAN JOSE, Calif., Oct. 28, 2020 /PRNewswire/ -- Save at least six months of development time using the Health Sensor Platform 3.0 (HSP 3.0) from Maxim ...",https://news.google.com/articles/CBMixQFodHRwczovL3d3dy5tb250ZXJleWNvdW50eXdlZWtseS5jb20vbmV3cy9zdGF0ZS9tYXhpbS1pbnRlZ3JhdGVkcy1oZWFsdGgtc2Vuc29yLXBsYXRmb3JtLTMtMC1yZWR1Y2VzLWRldmVsb3BtZW50LXRpbWUtb2YtaGVhbHRoY2FyZS13ZWFyYWJsZXMtYnktYXQvYXJ0aWNsZV9iZmY3YzdhZi1lOWVkLTU1YTAtODE3ZS02OWRiNWQzMDcwMjIuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.5,2,1,0,Wearables
Wearable sensors are evolving from watches and electrodes to bendable devices that provide far more precise biometric measurements and comfort for users.,https://news.google.com/articles/CAIiEGfb2ZpJUzuZIThR4B4a6FMqGQgEKhAIACoHCAow66WNCzCllp8DMPOxwQY?hl=en-US&gl=US&ceid=US%3Aen,2.05,2,3,2,Wearables
"Engineers have unveiled a device with unique functionality that could signal the dawn of a new design philosophy for electronics, including next-generation ...",https://news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LnNjaWVuY2VkYWlseS5jb20vcmVsZWFzZXMvMjAyMC8xMC8yMDEwMjgxMTA2MjkuaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen,2.75,0,3,1,Wearables
Large companies from Amazon to Fitbit to Apple have made waves in recent weeks with big announcements of new wearables—but what do these devices ...,https://news.google.com/articles/CBMiS2h0dHBzOi8vd3d3LmFkdmlzb3J5LmNvbS9kYWlseS1icmllZmluZy8yMDIwLzEwLzIxL3JhZGlvLWFkdmlzb3J5LXdlYXJhYmxlc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,1.05,1,0,0,Wearables
"In the background of the COVID-19 pandemic, an accelerated evolution of wearable health devices is taking place, especially among nontraditional healthcare ...",https://news.google.com/articles/CBMiamh0dHBzOi8vc2VhcmNoaGVhbHRoaXQudGVjaHRhcmdldC5jb20vZmVhdHVyZS9JbnRlcmVzdC1pbi13ZWFyYWJsZS1oZWFsdGgtZGV2aWNlcy1ncm93cy1kZXNwaXRlLWNoYWxsZW5nZXPSAXBodHRwczovL3NlYXJjaGhlYWx0aGl0LnRlY2h0YXJnZXQuY29tL2ZlYXR1cmUvSW50ZXJlc3QtaW4td2VhcmFibGUtaGVhbHRoLWRldmljZXMtZ3Jvd3MtZGVzcGl0ZS1jaGFsbGVuZ2VzP2FtcD0x?hl=en-US&gl=US&ceid=US%3Aen,-0.75,0,0,0,Wearables
"Chicago, United States: Global Smart Wearables in Healthcare Market Report 2020, Forecast to 2026, The report focuses on encompassing several factors such ...",https://news.google.com/articles/CBMi4AFodHRwczovL2V1cm93aXJlLmNvL3VuY2F0ZWdvcml6ZWQvNTg4NTIxL3RyZW5kaW5nLW5ld3MtY292aWQtMTktaW1wYWN0LW9uLXNtYXJ0LXdlYXJhYmxlcy1pbi1oZWFsdGhjYXJlLW1hcmtldC1vdmVydmlldy1vcHBvcnR1bml0aWVzLWFuZC1mb3JlY2FzdC1ieS1jb21wYW5pZXMtY29uc3VtZXItdXB0by0yMDI2LWFwcGxlLWZpdGJpdC1qYXdib25lLW1pc2ZpdC1teWtyb25vei1zYW1zdW5nL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,1.4,2,1,1,Wearables
"No one believes in consumer-centric design for injury prevention better than Matthew Hart, founder and CEO of Soter Analytics, “Putting ourselves in the shoes ...",https://news.google.com/articles/CBMiWmh0dHBzOi8vb2hzb25saW5lLmNvbS9hcnRpY2xlcy8yMDIwLzEwLzA1L3RoZS13b3JsZHMtMXN0LXdlYXJhYmxlLXNvbHV0aW9uLXRvLXByZXZlbnQuYXNweNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.7000000000000001,-1,0,0,Wearables
"The ""Global Super Soldier Wearable Technology Market: Focus on Type (Headwear, Bodywear, Hearables, and Connectivity Devices), Application, and End ...",https://news.google.com/articles/CBMiVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9nbG9iYWwtc3VwZXItc29sZGllci13ZWFyYWJsZS10ZWNobm9sb2d5LTE0MzIwMDEwNi5odG1s0gFeaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvZ2xvYmFsLXN1cGVyLXNvbGRpZXItd2VhcmFibGUtdGVjaG5vbG9neS0xNDMyMDAxMDYuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,1.85,3,3,1,Wearables
"Scientists at Penn State University have developed a flexible sensor they say can be safely printed directly onto the skin, where it can track things like body ...",https://news.google.com/articles/CAIiEIK43MQrD5c8UgJ1QXTfrjQqFQgEKg0IACoGCAow8oA-MLswMNKDAQ?hl=en-US&gl=US&ceid=US%3Aen,2.2,3,1,3,Wearables
MIT researchers have designed a skin-like device that can be attached to the face and measure small movements such as a twitch or a smile. With this approach ...,https://news.google.com/articles/CBMiNWh0dHBzOi8vbmV3cy5taXQuZWR1LzIwMjAvc2Vuc29yLWFscy1jb21tdW5pY2F0ZS0xMDIy0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.15000000000000002,4,-1,2,Wearables
